S.No,Product Listing,Scientific Name,Price,URL,Variegated,Type,Combo Names,Units
39,Sansevieria Trifasciata 'Ghost',Sansevieria Ghost,Rs. 525.00,https://fermosaplants.com/collections/sansevieria/products/sansevieria-ghost,False,Plant,[],1
40,Sansevieria Combo Offer Of 7 (V),Sansevieria (Combo),Rs. 575.00,https://fermosaplants.com/collections/sansevieria/products/sansevieria-combo-offer-of-7-v,False,Combo,"['Midnight Fountain', 'Katana', 'Fernwood', 'Uganda Black', 'Silver Steel', 'Moto', 'Sulcata']",7
41,Sansevieria Masoniana Yellow Variegated (Tall Variety),Sansevieria Masoniana Variegated,Rs. 850.00,https://fermosaplants.com/collections/sansevieria/products/sansevieria-masoniana-yellow-variegated-tall-variety,True,Plant,[],1
42,Sansevieria Silver Boncel,Sansevieria Silver Boncel,Rs. 300.00,https://fermosaplants.com/collections/sansevieria/products/sansevieria-silver-boncel,False,Plant,[],1
43,Sansevieria Trifaciata Robusta Clump,Sansevieria Trifaciata Robusta,Rs. 199.00,https://fermosaplants.com/collections/sansevieria/products/sansevieria-trifaciata-robusta-clump,False,Clump,[],1
44,Sansevieria Pagoda,Sansevieria Hybrid Pagoda,Rs. 299.00,https://fermosaplants.com/collections/sansevieria/products/sansevieria-pagoda,False,Plant,[],1
45,Sansevieria Sulcata Variegated,Sansevieria Sulcata Variegated,Rs. 450.00,https://fermosaplants.com/collections/sansevieria/products/sansevieria-sulcata-variegated,True,Plant,[],1
46,#115 Combo Of 4 Large Sansevieria,Sansevieria (Combo),Rs. 750.00,https://fermosaplants.com/collections/sansevieria/products/115-combo-of-4-large-sansevieria,False,Combo,"['Sulcata Var', 'Fern Wood', 'Pearsonii', 'Fischeri']",4
47,Sansevieria Combo Offer Of 3 (O),Sansevieria (Combo),"Rs. 1,200.00",https://fermosaplants.com/collections/sansevieria/products/sansevieria-combo-offer-of-3-o,False,Combo,"['Black Gold Compacta', 'Lake Sibaya', 'Futura Gold']",3
48,Sansevieria Silver Nymph Clump,Sansevieria Silver Nymph,Rs. 250.00,https://fermosaplants.com/collections/sansevieria/products/sansevieria-silver-nymph-clump,False,Clump,[],1
49,#117 Sansevieria Combo Offer Of 5,Sansevieria (Combo),Rs. 999.00,https://fermosaplants.com/collections/sansevieria/products/117-sansevieria-combo-offer-of-5,False,Combo,"['Jade Marginata', 'Golden Hahnii', 'Twisted Sisters', 'Night Owl', 'Black Jade']",5
50,Sansevieria Combo Of 2 Beautiful Plants,Sansevieria (Combo),Rs. 450.00,https://fermosaplants.com/collections/sansevieria/products/sansevieria-combo-of-2-beautiful-plants,False,Combo,"['Subspicata', 'Nalika']",2
51,Sansevieria Pinguicula Variegated (Small),Sansevieria Pinguicula Variegated,"Rs. 5,500.00",https://fermosaplants.com/collections/sansevieria/products/pinguicula-variegated-small,True,Plant,[],1
52,Sansevieria Lavranos 23251 Variegated (Large),Sansevieria Lavranos 23251 Variegated,"Rs. 3,500.00",https://fermosaplants.com/collections/sansevieria/products/sansevieria-lavranos-23251-variegated-large,True,Plant,[],1
53,Sansevieria Francisii White Variegated,Sansevieria Francisii White Variegated,"Rs. 1,750.00",https://fermosaplants.com/collections/sansevieria/products/sansevieria-francisii-white-variegated,True,Plant,[],1
54,Sansevieria Twister Clump,Sansevieria Twister,Rs. 550.00,https://fermosaplants.com/collections/sansevieria/products/sansevieria-twister-clump,False,Clump,[],1
55,Sansevieria Boncel,Sansevieria Boncel,Rs. 350.00,https://fermosaplants.com/collections/sansevieria/products/sansevieria-boncel,False,Plant,[],1
56,Sansevieria Subspicata,Sansevieria Subspicata,Rs. 275.00,https://fermosaplants.com/collections/sansevieria/products/sansevieria-subspicata,False,Plant,[],1
57,#118 Sansevieria Combo Of 2 Plants,Sansevieria (Combo),Rs. 750.00,https://fermosaplants.com/collections/sansevieria/products/118-sansevieria-combo-of-2-plants,False,Combo,"['Gold Dust', 'Hi Color']",2
58,Combo #105 (Combo Of 4 Plants),Sansevieria (Combo),Rs. 850.00,https://fermosaplants.com/collections/sansevieria/products/combo-105-combo-of-4-plants,False,Combo,"['Star Dust', 'Phanphet', 'Tower', 'Ravana']",4
59,Sansevieria Violet,Sansevieria Violet,Rs. 775.00,https://fermosaplants.com/collections/sansevieria/products/sansevieria-violet,False,Plant,[],1
60,Sansevieria Combo Of 7 Different,Sansevieria (Combo),"Rs. 1,250.00",https://fermosaplants.com/collections/sansevieria/products/sansevieria-combo-of-7-different,False,Combo,"['Pagoda', 'Nalika', 'Fighter', 'Sweet Celery', 'Tower', 'Lobel Kenya', 'Sindoro']",7
61,Sansevieria Combo Of 4 Plants,Sansevieria (Combo),Rs. 999.00,https://fermosaplants.com/collections/sansevieria/products/sansevieria-combo-of-4-plants,False,Combo,"['Hawaiian Star', 'Patens', 'Fischeri', 'Katana']",4
62,Sansevieria Combo Offer Of 2 (R),Sansevieria (Combo),Rs. 249.00,https://fermosaplants.com/collections/sansevieria/products/sansevieria-combo-offer-of-2-r,False,Combo,"['Ballyi', 'Mini Ballyi']",2
63,Sansevieria Sp Somalia,Sansevieria Sp Somalia,"Rs. 3,000.00",https://fermosaplants.com/collections/sansevieria/products/sansevieria-sp-somalia,False,Plant,[],1
64,Sansevieria Rorida Variegated,Rorida,"Rs. 8,000.00",https://fermosaplants.com/collections/sansevieria/products/sansevieria-rorida-variegated,True,Plant,[],1
65,Sansevieria Blue Leaf Variegated (Large),Sansevieria Blue Leaf Variegated,"Rs. 3,500.00",https://fermosaplants.com/collections/sansevieria/products/sansevieria-blue-variegated-large,True,Plant,[],1
66,Sansevieria Trifaciata 'Aslaam',Trifaciata 'Aslaam',"Rs. 1,150.00",https://fermosaplants.com/collections/sansevieria/products/sansevieria-trifaciata-aslaam,False,Plant,[],1
